file_id,pdf_name,processed_at,total_pages,election_type,ballot_type,district,subdistrict,moo,station_number,eligible_voters,voter_turnout,total_ballots,valid_votes,void_ballots,spoiled_ballots,total_is_valid,candidate_sum_valid,validation_message,candidate_sum_message,failure_modes,failure_mode_count,imputed_fields,count_tier,meta_tier,turnout_rate,void_rate,spoil_rate
105480986c2f76e4f498cc266ff3970e,ขามเฒ่า น.11.pdf,2026-05-06T11:36:38.868629,2,normal,district,อำเภอโนนสูง,ตำบลขามเฒ่า,11.0,11.0,180.0,109.0,109.0,96.0,8.0,3.0,False,True,Ballot math mismatch: 96+8+3=107 ≠ 109,OK,"ballot_math_fail (total=109, valid+void+spoiled=107)",1,,C,M0,0.6055555555555555,0.07339449541284404,0.027522935779816515
de8669c6ef5fa962e75924a2de829cdc,หลุมข้าว น.18.pdf,2026-05-06T13:37:58.287769,4,normal,partylist,อำเภอโนนสูง,ตำบลหลุมข้าว,15.0,18.0,306.0,217.0,217.0,196.0,13.0,,False,True,Ballot math mismatch: 196+13+88=297 ≠ 217,OK,"ballot_math_fail (total=217, valid+void+spoiled=297)",1,,C,M0,0.7091503267973857,0.059907834101382486,0.4055299539170507
67c7f449bb3c1e170f595deb775f3b49,ขามเฒ่า น.10.pdf,2026-05-09T13:17:41.424357,4,normal,partylist,อำเภอโนนสูง,ตำบลขามเฒ่า,10.0,10.0,273.0,116.0,116.0,179.0,11.0,7.0,False,True,Ballot math mismatch: 179+11+7=197 ≠ 116,OK,"ballot_math_fail (total=116, valid+void+spoiled=197)",1,,C,M0,0.4249084249084249,0.09482758620689655,0.0603448275862069
5328d57cf0ed6c57a6fcf9123b42521c,อส.4ทับ7.pdf,2026-05-06T11:27:55.057143,1,,,อำเภอเฉลิมพระเกียรติ,ตำบลท่าช้าง,,,,,,,,,False,False,total_ballots not found in header,valid_votes not available for comparison,"ocr_missed_candidates:[1, 2, 4, 5, 6, 7, 8, 9]",1,,C,M1,,,
62c281f9f300de1d165c3e8ce9ac801e,บิง น.4.pdf,2026-05-06T12:24:18.514349,4,normal,partylist,อำเภอโนนสูง,ตำบลบิง,4.0,4.0,776.0,548.0,548.0,498.0,33.0,19.0,False,True,Ballot math mismatch: 498+33+19=550 ≠ 548,OK,"ballot_math_fail (total=548, valid+void+spoiled=550)",1,,C,M0,0.7061855670103093,0.060218978102189784,0.03467153284671533
41779a3e1280ef74347917db7d60e61d,มะค่า น.14.pdf,2026-05-06T12:45:50.819051,4,normal,partylist,อำเภอโนนสูง,ตำบลมะค่า,2.0,14.0,340.0,173.0,173.0,161.0,11.0,6.0,False,True,Ballot math mismatch: 161+11+6=178 ≠ 173,OK,"ballot_math_fail (total=173, valid+void+spoiled=178)",1,,C,M0,0.5088235294117647,0.06358381502890173,0.03468208092485549
49c7877fcf251381e1d03b8d73dbb7ac,หน่วยที่ 2 ตำบลใหม่.pdf,2026-05-06T15:26:49.547681,2,normal,district,อำเภอโนนสูง,ตำบลใหม่,2.0,2.0,929.0,626.0,626.0,555.0,20.0,31.0,False,True,Ballot math mismatch: 555+20+31=606 ≠ 626,OK,"ballot_math_fail (total=626, valid+void+spoiled=606)",1,,C,M0,0.673842841765339,0.03194888178913738,0.04952076677316294
2dd20f23bd3cb633752b00bb65429d5f,หน่วยที่ 16 ตำบลใหม่.pdf,2026-05-06T15:25:56.481175,2,normal,district,อำเภอโนนสูง,ตำบลใหม่,16.0,16.0,367.0,310.0,390.0,298.0,10.0,2.0,False,True,Ballot math mismatch: 298+10+2=310 ≠ 390,OK,"ballot_math_fail (total=390, valid+void+spoiled=310)",1,,C,M0,0.8446866485013624,0.02564102564102564,0.005128205128205128
573f138d94c4d896fae7389c15f79181,น.8 ต.ชีวาน ส.ส.5_18 (บช).pdf,2026-05-06T10:37:15.698304,4,normal,partylist,อำเภอพิมาย,ตำบลชีวาน,8.0,8.0,263.0,177.0,177.0,160.0,11.0,1.0,False,True,Ballot math mismatch: 160+11+1=172 ≠ 177,OK,"ballot_math_fail (total=177, valid+void+spoiled=172)",1,,C,M0,0.6730038022813688,0.062146892655367235,0.005649717514124294
2d569ecf13128288424898f22f961c15,ขามเฒ่า น.6.pdf,2026-05-06T11:44:10.635212,2,normal,district,อำเภอโนนสูง,ตำบลขามเฒ่า,6.0,6.0,644.0,316.0,293.0,293.0,,15.0,False,True,Ballot math mismatch: 293+207+15=515 ≠ 293,OK,"ballot_math_fail (total=293, valid+void+spoiled=515)",1,,C,M0,0.4906832298136646,0.7064846416382252,0.051194539249146756
