file_id,ballot_type,station_number,subdistrict,count_tier,meta_tier,imputed_fields,failure_modes,turnout_rate,void_rate,spoil_rate,dominant_party,RULE_PERFECT_TURNOUT,RULE_ZERO_TOTAL_BALLOTS,RULE_HIGH_VOID_RATE,RULE_HIGH_SPOIL_RATE,RULE_NEGATIVE_RATE,RULE_ALL_ZERO_VOTES,RULE_SINGLE_CANDIDATE_SWEEP,STAT_TURNOUT_Z,STAT_VOID_Z,STAT_SPOIL_Z,STAT_PARTY_DOMINANCE,anomaly_score,is_anomalous
253e38f07e33e0b09f3b6e390395bf2f,district,2.0,ตำบลลำคอหงษ์,C,M0,,"ballot_math_fail (total=530, valid+void+spoiled=527)",1.110878661087866,0.045283018867924525,0.009433962264150943,,False,False,False,False,False,False,False,False,False,False,False,0,False
253e38f07e33e0b09f3b6e390395bf2f,partylist,2.0,ตำบลลำคอหงษ์,C,M0,,"ballot_math_fail (total=537, valid+void+spoiled=541) | candidate_sum_fail (sum=486, valid_votes=493)",0.7195121951219512,0.0670391061452514,0.0223463687150838,,False,False,False,False,False,False,False,False,False,False,False,0,False
25439ce282cada8af41e7524b769784b,district,2.0,ตำบลพลสงคราม,B,M0,,"ocr_missed_candidates:[7, 8, 9] | candidate_sum_fail (sum=161, valid_votes=323)",0.5268361581920904,0.08847184986595175,0.045576407506702415,,False,False,False,False,False,False,False,False,False,False,False,0,False
25439ce282cada8af41e7524b769784b,partylist,2.0,ตำบลพลสงคราม,B,M0,,"candidate_sum_fail (sum=248, valid_votes=308)",0.5268361581920904,0.13941018766756033,0.03485254691689008,,False,False,True,False,False,False,False,False,True,False,False,2,True
255517635f4a8f5a38e48abbcd977f9f,district,12.0,ใหม่,B,M0,,"ocr_missed_candidates:[7, 8, 9] | candidate_sum_fail (sum=278, valid_votes=494)",0.6714801444043321,0.05913978494623656,0.05555555555555555,,False,False,False,False,False,False,False,False,False,False,False,0,False
255517635f4a8f5a38e48abbcd977f9f,partylist,12.0,ในเมือง,B,M0,,"ocr_missed_candidates:[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29] | ocr_extra_candidates:[70, 81, 92, 103, 114, 125, 136, 147, 158, 169, 170, 181, 192, 203, 214, 225, 236, 247, 258, 269, 2710, 2811, 2912] | candidate_sum_fail (sum=342, valid_votes=498)",0.6714801444043321,0.06272401433691756,0.044802867383512544,,False,False,False,False,False,False,False,False,False,False,False,0,False
258fde22916f00493219d47f0d25e16d,district,1.0,ตำบลโตนด,B,M0,,"candidate_sum_fail (sum=573, valid_votes=571)",0.7175141242937854,0.03949447077409163,0.05845181674565561,,False,False,False,False,False,False,False,False,False,False,False,0,False
258fde22916f00493219d47f0d25e16d,partylist,1.0,ตำบลโตนด,B,M0,,"candidate_sum_fail (sum=521, valid_votes=563)",0.6419878296146044,0.06635071090047394,0.044233807266982623,,False,False,False,False,False,False,False,False,False,False,False,0,False
25aa62daeb3117304066272464179915,district,6.0,ตำบลดอนชมพู,B,M0,,"candidate_sum_fail (sum=356, valid_votes=336)",0.7468879668049793,0.027777777777777776,0.03888888888888889,,False,False,False,False,False,False,False,False,False,False,False,0,False
25aa62daeb3117304066272464179915,partylist,6.0,ตำบลดอนชมพู,C,M0,,null_header_field:voter_turnout | null_header_field:total_ballots | null_header_field:valid_votes | null_header_field:void_ballots | null_header_field:spoiled_ballots,,,,,False,False,False,False,False,False,False,False,False,False,False,0,False
