file_id,ballot_type,cluster_label,silhouette_score
69cdb0545163a46fd42e5914500853bb,partylist,,
6a5ecbc01fee18c6d9e449290332c94f,district,,
6a5ecbc01fee18c6d9e449290332c94f,partylist,,
6b784dd89b8afdf78b1b458ddd1ad24a,district,0,0.4291022791011462
6b784dd89b8afdf78b1b458ddd1ad24a,partylist,3,0.3465869596316237
6b9203840ab0437a7da332c1f4df1b5f,district,0,0.2193296343817812
6b9203840ab0437a7da332c1f4df1b5f,partylist,,
6d86dc21c3c5a98db4072da7b7670695,district,,
6d86dc21c3c5a98db4072da7b7670695,partylist,3,0.3587590423501265
6dc4e136b4b80b7ff1c0f4d776e0699f,partylist,,
6ece1bf5e69f1cde9c5f61640ea1acd2,district,0,0.5511614588936923
6ece1bf5e69f1cde9c5f61640ea1acd2,partylist,3,0.47873530922688406
6f004fa71b79c953b5ff86ec38b1231a,district,,
6f004fa71b79c953b5ff86ec38b1231a,partylist,2,0.0
6f33020230a599a2d11c14afb5a35e4f,district,,
6f33020230a599a2d11c14afb5a35e4f,partylist,3,0.5015557285012108
6f352e4bbed033520e1d035244005cbc,district,,
6f352e4bbed033520e1d035244005cbc,partylist,,
707ed6c2d6b89d6b792f1f81a8861fe1,district,,
707ed6c2d6b89d6b792f1f81a8861fe1,partylist,,
70c1007c6395361fbf937b2cf6e98c78,district,,
70c1007c6395361fbf937b2cf6e98c78,partylist,,
7176a01bf066cd49a08d87b360be804b,district,0,0.3931674891470067
7176a01bf066cd49a08d87b360be804b,partylist,3,0.3629823240477298
73cbf627c97ede1efc8362913c91fd98,district,,
73cbf627c97ede1efc8362913c91fd98,partylist,,
7471a4ec2cda550324dd6cb1ef21363c,district,0,0.3019566963045118
7471a4ec2cda550324dd6cb1ef21363c,partylist,3,0.28711618612540163
76e96811359c55ff8609bd20085823d0,district,,
76e96811359c55ff8609bd20085823d0,partylist,,
7a735b3432df5671abcb472c6460e96a,district,,
7b831a6bd3786665a8154d891e20d9dc,partylist,3,0.12358065056846189
7bb7782d0289441ef6d4588eda70a3e5,district,,
7bb7782d0289441ef6d4588eda70a3e5,partylist,3,0.37074718708179266
7bff5ff29be5be3e8aeb09e82ea05a19,district,0,0.4041715598005955
7c9130ec663cbb26985770651d79f47e,district,0,0.2506429517927452
7c9130ec663cbb26985770651d79f47e,partylist,,
7d47f767f82fbbc5dc61fb384487ccae,district,,
7d47f767f82fbbc5dc61fb384487ccae,partylist,,
7db464476535ef385876e5ea76fb8225,partylist,,
7f670365f09c57a12d872ac9b4f847d3,district,0,0.2978482608101584
7f670365f09c57a12d872ac9b4f847d3,partylist,3,0.517441454272111
7fa3c81ed7f634f86fbd61c4ef7dc387,district,,
805d3eb9e9c5a6d4cfb4bc9ded11d7e5,district,,
805d3eb9e9c5a6d4cfb4bc9ded11d7e5,partylist,,
80c4f292b162fed2e64508a8003435f6,partylist,3,0.41201805728172136
81e4317cf1301ffc0037476386b8e202,district,0,0.4734286511480135
81e4317cf1301ffc0037476386b8e202,partylist,3,0.10350750800273446
82462b1cc2ec709b7634fc3eaed1803e,district,0,0.5676082878150606
82462b1cc2ec709b7634fc3eaed1803e,partylist,0,-0.014794611654425287
827b7d26f1c0700551721442d1f421ea,district,0,0.5474128655207727
827b7d26f1c0700551721442d1f421ea,partylist,,
83568d0627acdb9c4d7961e57fec246d,district,0,0.43437876442763107
83568d0627acdb9c4d7961e57fec246d,partylist,,
83c4a303885c825e6b8539e680fc49d1,district,,
844f9c799f9ba748c3d49f981d7e6edb,district,0,0.5629002305733776
844f9c799f9ba748c3d49f981d7e6edb,partylist,,
8476eb4d191d9c5664d1972b47828311,district,,
8476eb4d191d9c5664d1972b47828311,partylist,,
8481bd6646a9ab106b0896081f0df205,district,,
8481bd6646a9ab106b0896081f0df205,partylist,,
84c9a76330180bd61b4bcef721a2eac2,district,,
84c9a76330180bd61b4bcef721a2eac2,partylist,,
84e278ed11cf71bb7c7d0ce2467b8dc4,district,,
8521ec8bf4bc95a2fc521fd417b971f9,district,,
8521ec8bf4bc95a2fc521fd417b971f9,partylist,,
85b36c977c302475031db044ec936c5f,partylist,,
85c351f1ae231b4e1321694fad0c333c,district,0,0.5749072544466515
85c351f1ae231b4e1321694fad0c333c,partylist,,
87e0205f99aa81c898f6ce7ab82e6f39,district,,
87e0205f99aa81c898f6ce7ab82e6f39,partylist,,
87ff2d06b19219cc0c34f947e817b8dd,district,,
8897dee8f4f3c4311077992006d2c5ee,partylist,,
88ba8414b9e7cca61e32be91a39b9414,district,,
88ba8414b9e7cca61e32be91a39b9414,partylist,,
88ecd0ab96276589a89d832ee664d8e3,district,0,0.46891907099342045
88ecd0ab96276589a89d832ee664d8e3,partylist,3,0.3322654557951727
88f58579a687f561c51f9879509a1458,district,,
88f58579a687f561c51f9879509a1458,partylist,,
8a4731e5d6f7ae1125df488d19fc8e51,district,,
8a4731e5d6f7ae1125df488d19fc8e51,partylist,,
8a4aeabb02e9e877936b1e40e2de678c,partylist,,
8afd7fb51796fcce8c385882c227b665,district,,
8afd7fb51796fcce8c385882c227b665,partylist,3,0.4869902851191752
8b3b52324f521990f480fbdfb2e72ba7,district,,
8b3b52324f521990f480fbdfb2e72ba7,partylist,,
8b906231c3c92326aecd238d9639fa10,partylist,,
8bd67780ff7c70fd904b4db10798fbd7,district,0,0.4810664180425439
8bd67780ff7c70fd904b4db10798fbd7,partylist,,
8c13a16b3d51b2494162f3ac04926029,district,,
8c13a16b3d51b2494162f3ac04926029,partylist,,
8c33a11513108838159918c56e940a94,district,,
8cb6286568de4c231db7fab3aad7c288,district,,
8cb6286568de4c231db7fab3aad7c288,partylist,3,0.4927295069366243
8de47d8ccc83fe1eb8a50baa1a80a259,district,0,0.5609058829530262
8de47d8ccc83fe1eb8a50baa1a80a259,partylist,,
8fb961031f901b383ea558d08051cfa6,district,,
8fb961031f901b383ea558d08051cfa6,partylist,,
914e7f67ed3ac040594e3528ca03a2dd,district,0,0.5010770966112311
914e7f67ed3ac040594e3528ca03a2dd,partylist,0,0.5450912088239852
9154dc5f2d5e28982a6f42845f5bffdf,partylist,,
