file_id,pdf_name,election_type,ballot_type,total_is_valid,candidate_sum_valid,both_valid,failure_modes,,
2cee8c7723126fc0e303dd594987ae11,หน่วยที่ 7 ตำบลจันอัด.pdf,normal,partylist,FALSE,FALSE,FALSE,"null_header_field:station_number | ocr_missed_candidates:[7, 8, 9] | ocr_extra_candidates:[70, 81, 92] | ballot_math_fail (total=316, valid+void+spoiled=318) | candidate_sum_fail (sum=202, valid_votes=269)",,
2d569ecf13128288424898f22f961c15,ขามเฒ่า น.6.pdf,normal,district,FALSE,TRUE,FALSE,"ballot_math_fail (total=293, valid+void+spoiled=515)",,
2d569ecf13128288424898f22f961c15,ขามเฒ่า น.6.pdf,normal,partylist,TRUE,FALSE,FALSE,"candidate_sum_fail (sum=184, valid_votes=285)",,
2db13ee14626cd9d7ce63cd76e84f8f0,น.11.pdf,normal,district,TRUE,TRUE,TRUE,,,
2db13ee14626cd9d7ce63cd76e84f8f0,น.11.pdf,normal,partylist,TRUE,FALSE,FALSE,"candidate_sum_fail (sum=306, valid_votes=278)",,
2dd20f23bd3cb633752b00bb65429d5f,หน่วยที่ 16 ตำบลใหม่.pdf,normal,district,FALSE,TRUE,FALSE,"ballot_math_fail (total=390, valid+void+spoiled=310)",,
2dd20f23bd3cb633752b00bb65429d5f,หน่วยที่ 16 ตำบลใหม่.pdf,normal,partylist,TRUE,FALSE,FALSE,"candidate_sum_fail (sum=272, valid_votes=276)",,
2e6619c2fc25832b51377e378cb1f9b9,น.9 ต.สัมฤทธิ์ ส.ส.5_18 (บช).pdf,normal,partylist,TRUE,TRUE,TRUE,ocr_missed_candidates:[52],,
31651a97e1f282dab12996e7c8c909a4,น.6 ต.สัมฤทธิ์ ส.ส.5_18.pdf,normal,district,TRUE,TRUE,TRUE,,,
31b61bde306e7acada7d42a364e4b112,น.10 ต.กระเบื้องใหญ่ ส.ส.5_18.pdf,normal,district,TRUE,TRUE,TRUE,,,
31eb88296bdb937589034b91576bd5a7,น.7 ต.ท่าหลวง ส.ส.5_18.pdf,normal,district,TRUE,FALSE,FALSE,"candidate_sum_fail (sum=96, valid_votes=94)",,
